UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
P07858	CTSB	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:16733801}. Melanosome {ECO:0000269|PubMed:17081065}. Secreted, extracellular space {ECO:0000250|UniProtKB:A1E295}. Apical cell membrane {ECO:0000250|UniProtKB:P10605}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10605}; Extracellular side {ECO:0000250|UniProtKB:P10605}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Localizes to the lumen of thyroid follicles and to the apical membrane of thyroid epithelial cells (By similarity). {ECO:0000250|UniProtKB:P10605, ECO:0000269|PubMed:17081065}.	
P07864	LDHC	L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X)	SUBCELLULAR LOCATION: Cytoplasm.	
P07900	HSP90AA1	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P07901}. Cytoplasm {ECO:0000250|UniProtKB:P07901}. Melanosome {ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:11276205}. Mitochondrion {ECO:0000269|PubMed:25609812}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	DOMAIN: The TPR repeat-binding motif mediates interaction with TPR repeat-containing proteins like the co-chaperone STUB1. {ECO:0000269|PubMed:16307917}.
P07902	GALT	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)		
P07954	FH	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion {ECO:0000269|PubMed:27037871}.; SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm, cytosol {ECO:0000269|PubMed:20231875, ECO:0000269|PubMed:22509282, ECO:0000269|PubMed:26237645, ECO:0000269|PubMed:27037871}. Nucleus {ECO:0000269|PubMed:20231875, ECO:0000269|PubMed:26237645}. Chromosome {ECO:0000269|PubMed:26237645}. Note=Translocates to the nucleus in response to DNA damage: localizes to DNA double-strand breaks (DSBs) following phosphorylation by PRKDC. {ECO:0000269|PubMed:26237645}.	
P07998	RNASE1	Ribonuclease pancreatic (EC 4.6.1.18) (HP-RNase) (RIB-1) (RNase UpI-1) (Ribonuclease 1) (RNase 1) (Ribonuclease A) (RNase A)	SUBCELLULAR LOCATION: Secreted.	
P08034	GJB1	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.	
P08123	COL1A2	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	DOMAIN: The C-terminal propeptide, also known as COLFI domain, have crucial roles in tissue growth and repair by controlling both the intracellular assembly of procollagen molecules and the extracellular assembly of collagen fibrils. It binds a calcium ion which is essential for its function. {ECO:0000250}.
P08133	ANXA6	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	DOMAIN: A pair of annexin repeats may form one binding site for calcium and phospholipid.
P08134	RHOC	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cleavage furrow {ECO:0000269|PubMed:16236794}. Note=Translocates to the equatorial region before furrow formation in a ECT2-dependent manner.	
P08172	CHRM2	Muscarinic acetylcholine receptor M2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733, ECO:0000269|PubMed:3443095}; Multi-pass membrane protein {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733}. Postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250|UniProtKB:P06199}.	
P08183	ABCB1	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:35970996}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:28408210, ECO:0000269|PubMed:8898203}. Cytoplasm {ECO:0000269|PubMed:35970996}. Note=ABCB1 localization is influenced by C1orf115 expression levels (plasma membrane versus cytoplasm). Localized to the apical membrane of enterocytes (PubMed:28408210). {ECO:0000269|PubMed:28408210, ECO:0000269|PubMed:35970996}.	
P08235	NR3C2	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Endoplasmic reticulum membrane; Peripheral membrane protein. Note=Cytoplasmic and nuclear in the absence of ligand; nuclear after ligand-binding. When bound to HSD11B2, it is found associated with the endoplasmic reticulum membrane.	DOMAIN: Composed of three domains: a modulating N-terminal domain, a DNA-binding domain and a C-terminal ligand-binding domain.
P08237	PFKM	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03184}.	
P08263	GSTA1	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	SUBCELLULAR LOCATION: Cytoplasm.	DOMAIN: The C-terminal domain may form a component of the hydrophobic substrate-binding site, but in contrast appears not to be directly involved in GSH binding and is not absolutely essential for catalytic activity.
P08294	SOD3	Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1)	SUBCELLULAR LOCATION: Secreted, extracellular space. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:O09164}. Note=99% of EC-SOD is anchored to heparan sulfate proteoglycans in the tissue interstitium, and 1% is located in the vasculature in equilibrium between the plasma and the endothelium.	
P08476	INHBA	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11279126}.	
P08620	FGF4	Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
P08670	VIM	Vimentin	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19386766, ECO:0000269|PubMed:21465480, ECO:0000269|PubMed:29496907}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:18408015, ECO:0000269|PubMed:29496907}. Nucleus matrix {ECO:0000250|UniProtKB:P31000}. Cell membrane {ECO:0000250|UniProtKB:P20152}.	DOMAIN: The central alpha-helical coiled-coil IF rod domain mediates elementary homodimerization. {ECO:0000269|PubMed:20176112}.; DOMAIN: The [IL]-x-C-x-x-[DE] motif is a proposed target motif for cysteine S-nitrosylation mediated by the iNOS-S100A8/A9 transnitrosylase complex. {ECO:0000305|PubMed:25417112}.
P08684	CYP3A4	Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Single-pass membrane protein.	
P08758	ANXA5	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)		DOMAIN: The [IL]-x-C-x-x-[DE] motif is a proposed target motif for cysteine S-nitrosylation mediated by the iNOS-S100A8/A9 transnitrosylase complex. {ECO:0000305|PubMed:25417112}.; DOMAIN: A pair of annexin repeats may form one binding site for calcium and phospholipid.
P08887	IL6R	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)]	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:P22272}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:28060820}.; SUBCELLULAR LOCATION: [Soluble interleukin-6 receptor subunit alpha]: Secreted {ECO:0000269|PubMed:28060820}.	DOMAIN: The two fibronectin type-III-like domains, contained in the N-terminal part, form together a cytokine-binding domain.; DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.
P08908	HTR1A	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:26365466, ECO:0000269|PubMed:3041227, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:8393041}; Multi-pass membrane protein {ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:3041227, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:8393041}. Cell projection, dendrite {ECO:0000250|UniProtKB:P19327}.	
P08910	ABHD2	Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Acetylesterase) (EC 3.1.1.6) (Lung alpha/beta hydrolase 2) (Progesterone-sensitive lipase) (EC 3.1.1.79) (Protein PHPS1-2)	SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000305|PubMed:26989199}; Single-pass type II membrane protein {ECO:0000305}. Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	
P09104	ENO2	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. {ECO:0000250}.	
P09105	HBQ1	Hemoglobin subunit theta-1 (Hemoglobin theta-1 chain) (Theta-1-globin)		
P09110	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}. Note=Transported into peroxisomes following association with PEX7. {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}.	DOMAIN: The PTS2-type peroxisomal targeting signal, which mediates interaction with PEX7 and localization to peroxisomes, is cleaved following import into peroxisomes. {ECO:0000305|PubMed:22057399, ECO:0000305|PubMed:25538232}.
P09210	GSTA2	Glutathione S-transferase A2 (EC 2.5.1.18) (GST HA subunit 2) (GST class-alpha member 2) (GST-gamma) (GSTA2-2) (GTH2)	SUBCELLULAR LOCATION: Cytoplasm.	
P09211	GSTP1	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19269317}. Mitochondrion {ECO:0000269|PubMed:19269317}. Nucleus {ECO:0000269|PubMed:19269317}. Note=The 83 N-terminal amino acids function as un uncleaved transit peptide, and arginine residues within it are crucial for mitochondrial localization.	
P09234	SNRPC	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|HAMAP-Rule:MF_03153, ECO:0000269|PubMed:2136774}.	
P09382	LGALS1	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14617626}. Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=Can be secreted; the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
P09417	QDPR	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)		
P09430	TNP1	Spermatid nuclear transition protein 1 (STP-1) (TP-1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P10856}. Chromosome {ECO:0000250|UniProtKB:P10856}. Note=Loaded onto the nucleosomes of condensing spermatids. {ECO:0000250|UniProtKB:P10856}.	
P09488	GSTM1	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	SUBCELLULAR LOCATION: Cytoplasm.	
P09493	TPM1	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P04692}. Note=Associates with F-actin stress fibers. {ECO:0000250|UniProtKB:P04692}.	DOMAIN: The molecule is in a coiled coil structure that is formed by 2 polypeptide chains. The sequence exhibits a prominent seven-residues periodicity.
P09544	WNT2	Protein Wnt-2 (Int-1-like protein 1) (Int-1-related protein) (IRP)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:20018874}.	
P09564	CD7	T-cell antigen CD7 (GP40) (T-cell leukemia antigen) (T-cell surface antigen Leu-9) (TP41) (CD antigen CD7)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	
P09601	HMOX1	Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19556236, ECO:0000269|PubMed:22419571, ECO:0000269|PubMed:27184847}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000269|PubMed:22419571}.	DOMAIN: The transmembrane domain is necessary for its oligomerization. {ECO:0000269|PubMed:19556236}.
P09622	DLD	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:29211711, ECO:0000305|PubMed:3693355}. Nucleus {ECO:0000269|PubMed:29211711}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q811C4}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:15888450}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}.	
P09669	COX6C	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.	
P09693	CD3G	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8636209}; Single-pass type I membrane protein.	DOMAIN: A di-leucine motif and a tyrosine-based motif are individually sufficient to induce both endocytosis and delivery to lysosomes.
P09912	IFI6	Interferon alpha-inducible protein 6 (Interferon-induced protein 6-16) (Ifi-6-16)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:30224801, ECO:0000269|PubMed:31142663}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion inner membrane {ECO:0000269|PubMed:15685448, ECO:0000269|PubMed:17823654, ECO:0000269|PubMed:25757571, ECO:0000269|PubMed:27673746, ECO:0000269|PubMed:29899394}; Multi-pass membrane protein {ECO:0000255}.	
P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19261853}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:19261853}; Lipid-anchor {ECO:0000269|PubMed:19261853}. Note=About 30% of total UCHL1 is associated with membranes in brain. Localizes near and/or within mitochondria to potentially interact with mitochondrial proteins. {ECO:0000250|UniProtKB:Q9R0P9}.	
P09960	LTA4H	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:6490615}.	
P09972	ALDOC	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)		
P0C0S8	H2AC11; H2AC13; H2AC15; H2AC16; H2AC17	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	SUBCELLULAR LOCATION: Nucleus. Chromosome.	
P0C7X2	ZNF688	Zinc finger protein 688	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
